"","Jahr","Stadt","1","2","3","4"
"131",2020,"Nürnberg",573899,148028,548824,228677
"132",2021,"Nürnberg",114205,186058,693850,506445
"133",2022,"Nürnberg",361894,824590,998008,897043
"134",2023,"Nürnberg",705794,912781,977217,954366
"135",2024,"Nürnberg",795929,979444,NA,NA
"136",1998,"Münster",253062,284102,266490,296458
"137",1999,"Münster",255809,277620,256557,275576
"138",2000,"Münster",250416,268736,250337,272693
"139",2001,"Münster",246655,266010,259803,272443
"140",2002,"Münster",237896,282960,256701,276769
"141",2003,"Münster",248917,289709,256640,292189
"142",2004,"Münster",253148,288390,250025,260465
"143",2005,"Münster",241133,302281,274302,267414
"144",2006,"Münster",242328,293699,287601,268996
"145",2007,"Münster",248635,287774,318309,273581
"146",2008,"Münster",234314,301537,294792,279068
"147",2009,"Münster",245974,300248,312346,287366
"148",2010,"Münster",255342,327518,338254,316799
"149",2011,"Münster",280384,339651,355133,337768
"150",2012,"Münster",300190,349404,370174,331457
"151",2013,"Münster",285097,366448,369862,344378
"152",2014,"Münster",299457,346227,369053,348871
"153",2015,"Münster",295759,352114,363175,346833
"154",2016,"Münster",292030,358893,345205,327154
"155",2017,"Münster",287175,352739,366974,317466
"156",2018,"Münster",295868,351061,354356,340423
"157",2019,"Münster",289103,359399,379814,358991
"158",2020,"Münster",229252,82573,260071,140777
"159",2021,"Münster",48979,122941,326942,293357
"160",2022,"Münster",184014,372644,494279,479438
"161",2023,"Münster",368553,535201,513877,507718
"162",2024,"Münster",366369,517866,NA,NA
"163",1998,"München",1353146.86689384,1730225.69755452,2063091.91223174,1734655.52331989
"164",1999,"München",1430706.13860711,1829398.26210397,2181343.60397718,1834081.99531174
"165",2000,"München",1525218.68212622,1950248.43405418,2325443.30882764,1955241.57499195
"166",2001,"München",1493573.37445031,1909784.58945055,2277194.90362967,1914674.13246947
"167",2002,"München",1366541.0371081,1747352.39537952,2083513.49758672,1751826.06992566
"168",2003,"München",1387820.33112033,1774561.54926117,2115957.23333243,1779104.88628607
"169",2004,"München",1511269.57602095,1932412.15742247,2304175.63368259,1937359.63287399
"170",2005,"München",1643081.59861014,2100955.98242055,2505144.44526688,2106334.97370242
"171",2006,"München",1702643,2218124,2720618,2236831
"172",2007,"München",1891285,2363825,2870820,2403275
"173",2008,"München",1930780,2520338,2972383,2421170
"174",2009,"München",1937216,2441681,2999618,2543488
"175",2010,"München",2125083,2808703,3463912,2758834
"176",2011,"München",2295788,2925027,3549597,2973627
"177",2012,"München",2392658,3120830,3691415,3167469
"178",2013,"München",2614591,3307119,3779571,3205036
"179",2014,"München",2636404,3411367,3978100,3404502
"180",2015,"München",2817168,3504501,4264447,3469852
"181",2016,"München",2890442,3639551,4012068,3485045
"182",2017,"München",2935038,3675617,4700240,3962222
"183",2018,"München",3382138,4278052,5092552,4337150
"184",2019,"München",3591061,4696333,5300448,4674738
"185",2020,"München",2870150,746954,2374071,1068192
"186",2021,"München",680065,1169293,3378956,2723103
"187",2022,"München",1969010,4168039,5362707,4503482
"188",2023,"München",3423775,4974035,5608037,4664631
"189",2024,"München",3729443,4946234,NA,NA
"190",1998,"Kopenhagen",513444,752396,1007657,668489
"191",1999,"Kopenhagen",548493,814603,1011506,672783
"192",2000,"Kopenhagen",556878,888407,1127821,775660
"193",2001,"Kopenhagen",619333,923408,1146302,734759
"194",2002,"Kopenhagen",595631,926455,1152381,813924
"195",2003,"Kopenhagen",571502,889984,1195876,839221
"196",2004,"Kopenhagen",645711,1046696,1324229,910741
"197",2005,"Kopenhagen",679156,1112709,1374175,983419
"198",2006,"Kopenhagen",701422,1113029,1408743,1033797
"199",2007,"Kopenhagen",763023,1154986,1441178,1059817
"200",2008,"Kopenhagen",800068,1201882,1395956,951616
"201",2009,"Kopenhagen",681606,1054001,1396988,1049453
"202",2010,"Kopenhagen",727805,1216292,1642440,1168897
"203",2011,"Kopenhagen",847599,1430329,1829419,1224654
"204",2012,"Kopenhagen",968598,1600239,1878875,1306920
"205",2013,"Kopenhagen",1004485,1647318,1999385,1413558
"206",2014,"Kopenhagen",1077629,1721255,2050175,1474141
"207",2015,"Kopenhagen",1183576,1801891,2174053,1602579
"208",2016,"Kopenhagen",1266471,1811648,2204781,1647016
"209",2017,"Kopenhagen",1319441,1857917,2144291,1624627
"210",2018,"Kopenhagen",1356140,1951177,2328518,1801028
"211",2019,"Kopenhagen",1424147,2134320,2561439,1933102
"212",2020,"Kopenhagen",1110266,215965,920692,498728
"213",2021,"Kopenhagen",309677,564648,1692533,1714063
"214",2022,"Kopenhagen",1104011,2373483,2949201,2153991
"215",2023,"Kopenhagen",1615440,2583658,3120643,2242565
"216",2024,"Kopenhagen",1734584,2741904,NA,NA
"217",1998,"Köln",678149,652221,764413,714582
"218",1999,"Köln",754279,714927,743696,746100
"219",2000,"Köln",750429,768493,816987,729702
"220",2001,"Köln",775535,749158,872884,860341
"221",2002,"Köln",835627,740899,874832,850853
"222",2003,"Köln",801704,817265,873032,935349
"223",2004,"Köln",881389,903222,1001423,1064050
"224",2005,"Köln",945764,1075018,1086583,1104214
"225",2006,"Köln",1000314,1121503,1115885,1144726
"226",2007,"Köln",1068190,1089293,1142149,1180579
"227",2008,"Köln",1028108,1106589,1092465,1081539
"228",2009,"Köln",981444,981880,1060745,1109175
"229",2010,"Köln",989904,1029749,1257278,1297518
"230",2011,"Köln",1118124,1230542,1299180,1322210
"231",2012,"Köln",1180571,1262975,1350644,1288437
"232",2013,"Köln",1169960,1237134,1340381,1329717
"233",2014,"Köln",1227111,1433073,1560251,1516541
"234",2015,"Köln",1361353,1510587,1574382,1538559
"235",2016,"Köln",1288683,1409130,1520940,1556137
"236",2017,"Köln",1444383,1602496,1594300,1602162
"237",2018,"Köln",1440613,1558036,1669316,1619712
"238",2019,"Köln",1513234,1628982,1678377,1758526
"239",2020,"Köln",1142384,242717,829446,342665
"240",2021,"Köln",202617,329662,1045114,1186557
"241",2022,"Köln",799741,1571163,1647372,1593208
"242",2023,"Köln",1379368,1766278,1705091,1717175
"243",2024,"Köln",1525150,1871308,NA,NA
"244",1998,"Helsinki",422977,538704,648937,478337
"245",1999,"Helsinki",452179,542547,683963,515572
"246",2000,"Helsinki",484559,614261,740440,547521
"247",2001,"Helsinki",508903,607835,743142,513712
"248",2002,"Helsinki",473743,608349,724769,498406
"249",2003,"Helsinki",443801,598247,742521,512657
"250",2004,"Helsinki",455413,581857,754010,500568
"251",2005,"Helsinki",452755,609112,750806,552588
"252",2006,"Helsinki",497975,633653,815060,608263
"253",2007,"Helsinki",548895,691824,883322,649550
"254",2008,"Helsinki",608944,741226,897804,646313
"255",2009,"Helsinki",539997,692104,854206,643409
"256",2010,"Helsinki",599523,717928,966615,712098
"257",2011,"Helsinki",638716,797753,1013380,732673
"258",2012,"Helsinki",669182,814889,997490,714489
"259",2013,"Helsinki",635313,790623,961481,701568
"260",2014,"Helsinki",633115,788986,955065,730544
"261",2015,"Helsinki",633064,788125,1063447,796638
"262",2016,"Helsinki",681095,868713,1084955,815216
"263",2017,"Helsinki",797394,983130,1213989,942564
"264",2018,"Helsinki",807593,972505,1175719,953710
"265",2019,"Helsinki",821987,1028251,1281684,1007216
"266",2020,"Helsinki",695158,87724,412843,253393
"267",2021,"Helsinki",180795,274514,749876,748673
"268",2022,"Helsinki",428534,931642,1237422,929236
"269",2023,"Helsinki",761257,979142,1268344,940882
"270",2024,"Helsinki",814853,1083371,NA,NA
"271",1998,"Hannover",286640,275822,290692,281592
"272",1999,"Hannover",279984,304701,259270,285728
"273",2000,"Hannover",356101,405353,772602,496888
"274",2001,"Hannover",318529,331738,302870,295245
"275",2002,"Hannover",312074,298132,304423,305375
"276",2003,"Hannover",311265,318601,284253,347135
"277",2004,"Hannover",346844,324890,326386,337587
"278",2005,"Hannover",343239,436199,358982,371024
"279",2006,"Hannover",393503,412414,388197,370672
"280",2007,"Hannover",375991,402412,394756,458792
"281",2008,"Hannover",434267,468504,475146,477754
"282",2009,"Hannover",437581,474812,443459,454441
"283",2010,"Hannover",446216,473466,503667,501747
"284",2011,"Hannover",469555,548153,558142,527223
"285",2012,"Hannover",503616,505437,549674,526969
"286",2013,"Hannover",471947,566311,534534,509032
"287",2014,"Hannover",481240,524889,532017,544196
"288",2015,"Hannover",501028,612894,558331,560029
"289",2016,"Hannover",513115,595771,574059,557401
"290",2017,"Hannover",518662,610558,588755,562040
"291",2018,"Hannover",503509,590186,598113,558437
"292",2019,"Hannover",525476,601494,625380,586408
"293",2020,"Hannover",406308,104290,304262,184794
"294",2021,"Hannover",111693,168571,420159,361615
"295",2022,"Hannover",282451,557472,642795,549158
"296",2023,"Hannover",466102,648992,654741,589519
"297",2024,"Hannover",482400,626472,NA,NA
"298",1998,"Hamburg",949523,1211670,1267435,1113059
"299",1999,"Hamburg",967807,1235894,1323710,1160596
"300",2000,"Hamburg",1022571,1301584,1396485,1221972
"301",2001,"Hamburg",1061794,1304148,1308211,1137287
"302",2002,"Hamburg",1070819,1397721,1424103,1256531
"303",2003,"Hamburg",1123521,1472565,1535719,1313154
"304",2004,"Hamburg",1196726,1598870,1677176,1472447
"305",2005,"Hamburg",1260240,1685649,1866683,1622534
"306",2006,"Hamburg",1416277,1902825,2090702,1767523
"307",2007,"Hamburg",1531701,1970344,2131684,1768694
"308",2008,"Hamburg",1611238,2042073,2213616,1860694
"309",2009,"Hamburg",1587987,2160384,2443938,1997836
"310",2010,"Hamburg",1703769,2379864,2651952,2211050
"311",2011,"Hamburg",1839896,2617800,2781266,2290333
"312",2012,"Hamburg",2050032,2841221,3133677,2609082
"313",2013,"Hamburg",2211750,3128971,3494430,2767984
"314",2014,"Hamburg",2280532,3244552,3502838,2980232
"315",2015,"Hamburg",2471553,3377839,3699423,3090480
"316",2016,"Hamburg",2719822,3465242,3806485,3339452
"317",2017,"Hamburg",2718702,3776348,3970769,3356518
"318",2018,"Hamburg",2932819,3861835,4178306,3556589
"319",2019,"Hamburg",2981863,4187563,4413654,3844326
"320",2020,"Hamburg",2467261,729382,2697465,984505
"321",2021,"Hamburg",478992,834814,3385486,2859908
"322",2022,"Hamburg",2049072,4309219,4584990,3767549
"323",2023,"Hamburg",3159965,4410531,4498405,3873679
"324",2024,"Hamburg",3323131,4213761,NA,NA
"325",1998,"Essen",204797,195871,193634,211619
"326",1999,"Essen",196380,208870,197073,224933
"327",2000,"Essen",213332,253003,215045,229173
"328",2001,"Essen",232504,239097,231306,255322
"329",2002,"Essen",233479,250475,228133,252624
"330",2003,"Essen",219779,233185,196938,241601
"331",2004,"Essen",226674,259748,222236,261718
"332",2005,"Essen",226398,251885,236885,251067
"333",2006,"Essen",223760,269645,236629,259027
"334",2007,"Essen",243466,243792,243815,276587
"335",2008,"Essen",256963,293186,250680,277470
"336",2009,"Essen",250940,272921,266099,277865
"337",2010,"Essen",260055,362796,370892,363994
"338",2011,"Essen",311505,340562,312453,337991
"339",2012,"Essen",326982,365562,338685,344936
"340",2013,"Essen",312559,341988,341438,390481
"341",2014,"Essen",343602,356771,337345,371487
"342",2015,"Essen",331532,347644,351038,378665
"343",2016,"Essen",305232,363560,335863,379279
"344",2017,"Essen",335870,369498,367723,407013
"345",2018,"Essen",363120,394317,409105,435480
"346",2019,"Essen",381026,418913,406599,459279
"347",2020,"Essen",291476,98807,225543,116936
"348",2021,"Essen",90996,129013,280537,291223
"349",2022,"Essen",213977,393011,452211,427967
"350",2023,"Essen",357995,477871,455662,468569
"351",2024,"Essen",377084,511374,NA,NA
"352",1998,"Düsseldorf",592767,553319,578700,589655
"353",1999,"Düsseldorf",616899,565885,530433,579936
"354",2000,"Düsseldorf",598160,655004,592127,578552
"355",2001,"Düsseldorf",626291,533527,608752,620447
"356",2002,"Düsseldorf",659679,607791,581649,610496
"357",2003,"Düsseldorf",601517,519593,548769,626249
"358",2004,"Düsseldorf",635565,627263,597670,673471
"359",2005,"Düsseldorf",659105,637046,678958,712653
"360",2006,"Düsseldorf",710595,719142,737189,735424
"361",2007,"Düsseldorf",743118,670718,763761,868012
"362",2008,"Düsseldorf",845213,881243,798065,835825
"363",2009,"Düsseldorf",809472,707743,795130,907614
"364",2010,"Düsseldorf",871709,795262,916011,1004606
"365",2011,"Düsseldorf",971309,931655,940190,1000249
"366",2012,"Düsseldorf",1008204,1007047,991587,1048762
"367",2013,"Düsseldorf",1003539,987595,1094678,1158921
"368",2014,"Düsseldorf",1073608,1124796,1132873,1161274
"369",2015,"Düsseldorf",1061763,1073494,1119889,1148814
"370",2016,"Düsseldorf",1028551,1180094,1180259,1215771
"371",2017,"Düsseldorf",1155243,1194272,1234147,1233917
"372",2018,"Düsseldorf",1174819,1194000,1304739,1314534
"373",2019,"Düsseldorf",1209751,1219729,1248576,1323298
"374",2020,"Düsseldorf",925669,147239,515758,237087
"375",2021,"Düsseldorf",163127,244835,730255,803851
"376",2022,"Düsseldorf",524863,1184132,1261594,1297331
"377",2023,"Düsseldorf",1151174,1402228,1406986,1452137
"378",2024,"Düsseldorf",1219017,1469804,NA,NA
"379",1998,"Duisburg",62342,78161,76544,81839
"380",1999,"Duisburg",73463,85125,88359,84466
"381",2000,"Duisburg",68498,86568,83670,83561
"382",2001,"Duisburg",74380,82135,93192,87387
"383",2002,"Duisburg",75079,87027,79434,78959
"384",2003,"Duisburg",68382,82806,78969,79842
"385",2004,"Duisburg",74191,93792,87039,88133
"386",2005,"Duisburg",71720,88544,95936,82840
"387",2006,"Duisburg",71885,97827,91443,82137
"388",2007,"Duisburg",74390,87650,95916,90792
"389",2008,"Duisburg",83571,97606,101365,90289
"390",2009,"Duisburg",73767,90470,94299,103025
"391",2010,"Duisburg",86603,110864,111975,99445
"392",2011,"Duisburg",79288,106519,111032,105349
"393",2012,"Duisburg",83839,102918,102864,96546
"394",2013,"Duisburg",89523,103904,116568,120057
"395",2014,"Duisburg",96561,122498,125988,114045
"396",2015,"Duisburg",95540,121738,121523,118867
"397",2016,"Duisburg",106106,141173,136928,132023
"398",2017,"Duisburg",112322,145874,151233,140375
"399",2018,"Duisburg",131186,147199,142891,143194
"400",2019,"Duisburg",121150,151826,148973,148985
"401",2020,"Duisburg",101836,37894,95190,53453
"402",2021,"Duisburg",33064,51993,105362,103413
"403",2022,"Duisburg",82004,144846,167125,146745
"404",2023,"Duisburg",122557,168118,164993,142964
"405",2024,"Duisburg",116963,158631,NA,NA
"406",1998,"Dortmund",153687,142726,145436,167181
"407",1999,"Dortmund",155505,161530,148381,158714
"408",2000,"Dortmund",156555,154632,142871,142962
"409",2001,"Dortmund",140548,138005,149795,162542
"410",2002,"Dortmund",147080,150878,148349,173065
"411",2003,"Dortmund",154576,157572,172933,187050
"412",2004,"Dortmund",182943,171175,160513,196514
"413",2005,"Dortmund",163459,180509,169596,182040
"414",2006,"Dortmund",177673,210170,188816,196615
"415",2007,"Dortmund",196738,199861,193078,218884
"416",2008,"Dortmund",193433,209559,190710,207379
"417",2009,"Dortmund",188314,173682,187498,199782
"418",2010,"Dortmund",201490,215944,208309,235882
"419",2011,"Dortmund",221518,221849,225573,262449
"420",2012,"Dortmund",258838,253856,233066,253379
"421",2013,"Dortmund",238075,245633,253249,291983
"422",2014,"Dortmund",255114,277962,260114,278437
"423",2015,"Dortmund",258434,269969,280275,325954
"424",2016,"Dortmund",285152,309467,293106,326803
"425",2017,"Dortmund",308224,326409,300573,318340
"426",2018,"Dortmund",317562,327407,338656,369223
"427",2019,"Dortmund",340000,354704,365198,380961
"428",2020,"Dortmund",273311,89185,194912,115653
"429",2021,"Dortmund",79480,111523,230232,254135
"430",2022,"Dortmund",177650,311439,343172,357505
"431",2023,"Dortmund",322655,390453,384649,400142
"432",2024,"Dortmund",341581,412982,NA,NA
"433",1998,"Bremerhaven",35461,51528,52346,38530
"434",1999,"Bremerhaven",42184,57172,61734,48821
"435",2000,"Bremerhaven",35870,56993,59864,41881
"436",2001,"Bremerhaven",35393,60029,63939,44530
"437",2002,"Bremerhaven",33563,64733,62424,40917
"438",2003,"Bremerhaven",30431,56491,61969,41383
"439",2004,"Bremerhaven",33255,58404,68219,45209
"440",2005,"Bremerhaven",38735,63893,66682,41033
"441",2006,"Bremerhaven",35474,64502,67335,43447
"442",2007,"Bremerhaven",37970,61943,70756,48461
"443",2008,"Bremerhaven",49487,78597,95337,64104
"444",2009,"Bremerhaven",51047,83626,95229,69784
"445",2010,"Bremerhaven",58812,99822,110184,88411
"446",2011,"Bremerhaven",64502,106758,116467,88157
"447",2012,"Bremerhaven",65734,102577,112896,78416
"448",2013,"Bremerhaven",64260,96258,111023,80869
"449",2014,"Bremerhaven",66639,105620,115215,87564
"450",2015,"Bremerhaven",68868,104859,118560,88778
"451",2016,"Bremerhaven",75572,115433,124335,82211
"452",2017,"Bremerhaven",72881,115434,129993,90061
"453",2018,"Bremerhaven",79283,125857,148117,96163
"454",2019,"Bremerhaven",85742,129659,147682,102807
"455",2020,"Bremerhaven",63581,43442,124860,48790
"456",2021,"Bremerhaven",26892,52223,153238,90957
"457",2022,"Bremerhaven",62079,117966,136857,90295
"458",2023,"Bremerhaven",85166,127358,138437,96180
"459",2024,"Bremerhaven",82298,118194,NA,NA
"460",1998,"Bremen",210695,266000,272623,246768
"461",1999,"Bremen",220580,270324,293432,288719
"462",2000,"Bremen",263016,300913,315797,278025
"463",2001,"Bremen",250446,300436,297513,269144
"464",2002,"Bremen",226437,282702,301422,281766
"465",2003,"Bremen",235666,290824,297720,299672
"466",2004,"Bremen",259050,310355,347216,300741
"467",2005,"Bremen",235202,300695,322841,306672
"468",2006,"Bremen",257777,347319,332833,320767
"469",2007,"Bremen",274252,338771,346516,352154
"470",2008,"Bremen",291299,353602,367117,351340
"471",2009,"Bremen",266272,358970,361783,352382
"472",2010,"Bremen",284213,375100,399725,399790
"473",2011,"Bremen",307712,413373,422344,411293
"474",2012,"Bremen",326146,398315,415323,416874
"475",2013,"Bremen",331717,444955,467402,464637
"476",2014,"Bremen",392251,474559,513298,533438
"477",2015,"Bremen",408614,514443,542281,528345
"478",2016,"Bremen",422415,520918,541195,519617
"479",2017,"Bremen",407371,529878,561699,540293
"480",2018,"Bremen",436840,554351,580254,565965
"481",2019,"Bremen",466429,604768,648921,628381
"482",2020,"Bremen",407636,162159,431503,199265
"483",2021,"Bremen",148371,208587,526374,456182
"484",2022,"Bremen",291673,589114,682762,599926
"485",2023,"Bremen",469758,618002,676492,594416
"486",2024,"Bremen",494586,643005,NA,NA
"487",1998,"Bonn",243374,292788,282077,269699
"488",1999,"Bonn",263055,307911,287678,273390
"489",2000,"Bonn",248989,292815,298417,266029
"490",2001,"Bonn",247250,264666,288948,254038
"491",2002,"Bonn",225534,261147,265588,235369
"492",2003,"Bonn",215149,248096,253517,247640
"493",2004,"Bonn",235243,276879,280952,271175
"494",2005,"Bonn",244070,323630,308122,290715
"495",2006,"Bonn",246023,306512,301766,294639
"496",2007,"Bonn",270290,287760,310242,293705
"497",2008,"Bonn",255769,337315,316646,288310
"498",2009,"Bonn",254134,301568,306091,278259
"499",2010,"Bonn",243823,318816,334746,311641
"500",2011,"Bonn",281398,332101,344580,337752
"501",2012,"Bonn",290755,349085,354899,323928
"502",2013,"Bonn",288455,368235,379536,363754
"503",2014,"Bonn",312428,393652,409539,372631
"504",2015,"Bonn",319427,395907,402035,378177
"505",2016,"Bonn",318121,419558,422067,379621
"506",2017,"Bonn",346117,419952,418245,411491
"507",2018,"Bonn",345287,420987,428036,400060
"508",2019,"Bonn",368201,452322,480284,452976
"509",2020,"Bonn",286572,88801,246870,143239
"510",2021,"Bonn",88635,115236,353252,304436
"511",2022,"Bonn",205391,416436,439211,389381
"512",2023,"Bonn",316916,455733,452597,406388
"513",2024,"Bonn",334394,453922,NA,NA
"514",1998,"Bochum",113655,116587,106157,113101
"515",1999,"Bochum",103778,114458,98211,111597
"516",2000,"Bochum",100902,114207,102506,111169
"517",2001,"Bochum",106746,114010,102539,114993
"518",2002,"Bochum",105124,105814,94296,106582
"519",2003,"Bochum",97823,111292,101811,111473
"520",2004,"Bochum",111747,119773,121152,121939
"521",2005,"Bochum",109959,116648,107862,133703
"522",2006,"Bochum",126336,134684,122192,126606
"523",2007,"Bochum",115416,121912,119265,134642
"524",2008,"Bochum",117439,141828,129522,141542
"525",2009,"Bochum",117957,131146,131785,131595
"526",2010,"Bochum",124547,148714,153201,153580
"527",2011,"Bochum",134085,152410,147279,153761
"528",2012,"Bochum",147772,150136,136546,145312
"529",2013,"Bochum",141957,159400,158981,175185
"530",2014,"Bochum",141649,160802,158426,163909
"531",2015,"Bochum",147254,159185,154161,169032
"532",2016,"Bochum",147808,167155,158953,168301
"533",2017,"Bochum",153468,165291,158607,168966
"534",2018,"Bochum",154191,155393,159704,165478
"535",2019,"Bochum",150802,162565,160624,169301
