"","Jahr","Quarter","Stadt","total"
"395",2020,3,"Oslo",701191
"396",2021,3,"Oslo",999215
"397",2022,3,"Oslo",1610863
"398",2023,3,"Oslo",1730379
"399",1998,4,"Oslo",585744
"400",1999,4,"Oslo",532017
"401",2000,4,"Oslo",575240
"402",2001,4,"Oslo",570131
"403",2002,4,"Oslo",576570
"404",2003,4,"Oslo",591743
"405",2004,4,"Oslo",644900
"406",2005,4,"Oslo",682983
"407",2006,4,"Oslo",718592
"408",2007,4,"Oslo",723378
"409",2008,4,"Oslo",714277
"410",2009,4,"Oslo",771562
"411",2010,4,"Oslo",780956
"412",2011,4,"Oslo",785687
"413",2012,4,"Oslo",832609
"414",2013,4,"Oslo",863895
"415",2014,4,"Oslo",930589
"416",2015,4,"Oslo",990688
"417",2016,4,"Oslo",1080763
"418",2017,4,"Oslo",1105075
"419",2018,4,"Oslo",1044605
"420",2019,4,"Oslo",1240647
"421",2020,4,"Oslo",330750
"422",2021,4,"Oslo",896350
"423",2022,4,"Oslo",1186869
"424",2023,4,"Oslo",1251138
"425",1998,1,"Nürnberg",386653.14286699
"426",1999,1,"Nürnberg",399187.686179256
"427",2000,1,"Nürnberg",425769.506084619
"428",2001,1,"Nürnberg",412443.576127383
"429",2002,1,"Nürnberg",395674.339678758
"430",2003,1,"Nürnberg",398054.827215736
"431",2004,1,"Nürnberg",409174.387789477
"432",2005,1,"Nürnberg",426871.599810492
"433",2006,1,"Nürnberg",479341
"434",2007,1,"Nürnberg",498918
"435",2008,1,"Nürnberg",487664
"436",2009,1,"Nürnberg",493762
"437",2010,1,"Nürnberg",523565
"438",2011,1,"Nürnberg",555759
"439",2012,1,"Nürnberg",596706
"440",2013,1,"Nürnberg",588264
"441",2014,1,"Nürnberg",613123
"442",2015,1,"Nürnberg",614495
"443",2016,1,"Nürnberg",687744
"444",2017,1,"Nürnberg",702979
"445",2018,1,"Nürnberg",775207
"446",2019,1,"Nürnberg",766110
"447",2020,1,"Nürnberg",573899
"448",2021,1,"Nürnberg",114205
"449",2022,1,"Nürnberg",361894
"450",2023,1,"Nürnberg",705794
"451",2024,1,"Nürnberg",795929
"452",1998,2,"Nürnberg",437127.814564141
"453",1999,2,"Nürnberg",451298.648619756
"454",2000,2,"Nürnberg",481350.526010977
"455",2001,2,"Nürnberg",466284.995711524
"456",2002,2,"Nürnberg",447326.661049239
"457",2003,2,"Nürnberg",450017.903403874
"458",2004,2,"Nürnberg",462589.039322935
"459",2005,2,"Nürnberg",482596.489817875
"460",2006,2,"Nürnberg",569300
"461",2007,2,"Nürnberg",544029
"462",2008,2,"Nürnberg",601700
"463",2009,2,"Nürnberg",514069
"464",2010,2,"Nürnberg",583421
"465",2011,2,"Nürnberg",583423
"466",2012,2,"Nürnberg",659245
"467",2013,2,"Nürnberg",651320
"468",2014,2,"Nürnberg",692757
"469",2015,2,"Nürnberg",739286
"470",2016,2,"Nürnberg",815831
"471",2017,2,"Nürnberg",803333
"472",2018,2,"Nürnberg",879467
"473",2019,2,"Nürnberg",856804
"474",2020,2,"Nürnberg",148028
"475",2021,2,"Nürnberg",186058
"476",2022,2,"Nürnberg",824590
"477",2023,2,"Nürnberg",912781
"478",2024,2,"Nürnberg",979444
"479",1998,3,"Nürnberg",472060.779386312
"480",1999,3,"Nürnberg",487364.072258484
"481",2000,3,"Nürnberg",519817.53824867
"482",2001,3,"Nürnberg",503548.049696177
"483",2002,3,"Nürnberg",483074.664250621
"484",2003,3,"Nürnberg",485980.976594789
"485",2004,3,"Nürnberg",499556.731836171
"486",2005,3,"Nürnberg",521163.072955397
"487",2006,3,"Nürnberg",550905
"488",2007,3,"Nürnberg",560551
"489",2008,3,"Nürnberg",580213
"490",2009,3,"Nürnberg",544417
"491",2010,3,"Nürnberg",646263
"492",2011,3,"Nürnberg",688144
"493",2012,3,"Nürnberg",711567
"494",2013,3,"Nürnberg",698087
"495",2014,3,"Nürnberg",760725
"496",2015,3,"Nürnberg",837444
"497",2016,3,"Nürnberg",850964
"498",2017,3,"Nürnberg",895344
"499",2018,3,"Nürnberg",998598
"500",2019,3,"Nürnberg",995299
"501",2020,3,"Nürnberg",548824
"502",2021,3,"Nürnberg",693850
"503",2022,3,"Nürnberg",998008
"504",2023,3,"Nürnberg",977217
"505",1998,4,"Nürnberg",476226.263182558
"506",1999,4,"Nürnberg",491664.592942504
"507",2000,4,"Nürnberg",524404.429655735
"508",2001,4,"Nürnberg",507991.378464916
"509",2002,4,"Nürnberg",487337.335021383
"510",2003,4,"Nürnberg",490269.2927856
"511",2004,4,"Nürnberg",503964.841051417
"512",2005,4,"Nürnberg",525761.837416235
"513",2006,4,"Nürnberg",567569
"514",2007,4,"Nürnberg",585557
"515",2008,4,"Nürnberg",608002
"516",2009,4,"Nürnberg",580810
"517",2010,4,"Nürnberg",671337
"518",2011,4,"Nürnberg",686017
"519",2012,4,"Nürnberg",680793
"520",2013,4,"Nürnberg",730135
"521",2014,4,"Nürnberg",759749
"522",2015,4,"Nürnberg",819840
"523",2016,4,"Nürnberg",869325
"524",2017,4,"Nürnberg",890863
"525",2018,4,"Nürnberg",947815
"526",2019,4,"Nürnberg",961667
"527",2020,4,"Nürnberg",228677
"528",2021,4,"Nürnberg",506445
"529",2022,4,"Nürnberg",897043
"530",2023,4,"Nürnberg",954366
"531",1998,1,"Münster",253062
"532",1999,1,"Münster",255809
"533",2000,1,"Münster",250416
"534",2001,1,"Münster",246655
"535",2002,1,"Münster",237896
"536",2003,1,"Münster",248917
"537",2004,1,"Münster",253148
"538",2005,1,"Münster",241133
"539",2006,1,"Münster",242328
"540",2007,1,"Münster",248635
"541",2008,1,"Münster",234314
"542",2009,1,"Münster",245974
"543",2010,1,"Münster",255342
"544",2011,1,"Münster",280384
"545",2012,1,"Münster",300190
"546",2013,1,"Münster",285097
"547",2014,1,"Münster",299457
"548",2015,1,"Münster",295759
"549",2016,1,"Münster",292030
"550",2017,1,"Münster",287175
"551",2018,1,"Münster",295868
"552",2019,1,"Münster",289103
"553",2020,1,"Münster",229252
"554",2021,1,"Münster",48979
"555",2022,1,"Münster",184014
"556",2023,1,"Münster",368553
"557",2024,1,"Münster",366369
"558",1998,2,"Münster",284102
"559",1999,2,"Münster",277620
"560",2000,2,"Münster",268736
"561",2001,2,"Münster",266010
"562",2002,2,"Münster",282960
"563",2003,2,"Münster",289709
"564",2004,2,"Münster",288390
"565",2005,2,"Münster",302281
"566",2006,2,"Münster",293699
"567",2007,2,"Münster",287774
"568",2008,2,"Münster",301537
"569",2009,2,"Münster",300248
"570",2010,2,"Münster",327518
"571",2011,2,"Münster",339651
"572",2012,2,"Münster",349404
"573",2013,2,"Münster",366448
"574",2014,2,"Münster",346227
"575",2015,2,"Münster",352114
"576",2016,2,"Münster",358893
"577",2017,2,"Münster",352739
"578",2018,2,"Münster",351061
"579",2019,2,"Münster",359399
"580",2020,2,"Münster",82573
"581",2021,2,"Münster",122941
"582",2022,2,"Münster",372644
"583",2023,2,"Münster",535201
"584",2024,2,"Münster",517866
"585",1998,3,"Münster",266490
"586",1999,3,"Münster",256557
"587",2000,3,"Münster",250337
"588",2001,3,"Münster",259803
"589",2002,3,"Münster",256701
"590",2003,3,"Münster",256640
"591",2004,3,"Münster",250025
"592",2005,3,"Münster",274302
"593",2006,3,"Münster",287601
"594",2007,3,"Münster",318309
"595",2008,3,"Münster",294792
"596",2009,3,"Münster",312346
"597",2010,3,"Münster",338254
"598",2011,3,"Münster",355133
"599",2012,3,"Münster",370174
"600",2013,3,"Münster",369862
"601",2014,3,"Münster",369053
"602",2015,3,"Münster",363175
"603",2016,3,"Münster",345205
"604",2017,3,"Münster",366974
"605",2018,3,"Münster",354356
"606",2019,3,"Münster",379814
"607",2020,3,"Münster",260071
"608",2021,3,"Münster",326942
"609",2022,3,"Münster",494279
"610",2023,3,"Münster",513877
"611",1998,4,"Münster",296458
"612",1999,4,"Münster",275576
"613",2000,4,"Münster",272693
"614",2001,4,"Münster",272443
"615",2002,4,"Münster",276769
"616",2003,4,"Münster",292189
"617",2004,4,"Münster",260465
"618",2005,4,"Münster",267414
"619",2006,4,"Münster",268996
"620",2007,4,"Münster",273581
"621",2008,4,"Münster",279068
"622",2009,4,"Münster",287366
"623",2010,4,"Münster",316799
"624",2011,4,"Münster",337768
"625",2012,4,"Münster",331457
"626",2013,4,"Münster",344378
"627",2014,4,"Münster",348871
"628",2015,4,"Münster",346833
"629",2016,4,"Münster",327154
"630",2017,4,"Münster",317466
"631",2018,4,"Münster",340423
"632",2019,4,"Münster",358991
"633",2020,4,"Münster",140777
"634",2021,4,"Münster",293357
"635",2022,4,"Münster",479438
"636",2023,4,"Münster",507718
"637",1998,1,"München",1353146.86689384
"638",1999,1,"München",1430706.13860711
"639",2000,1,"München",1525218.68212622
"640",2001,1,"München",1493573.37445031
"641",2002,1,"München",1366541.0371081
"642",2003,1,"München",1387820.33112033
"643",2004,1,"München",1511269.57602095
"644",2005,1,"München",1643081.59861014
"645",2006,1,"München",1702643
"646",2007,1,"München",1891285
"647",2008,1,"München",1930780
"648",2009,1,"München",1937216
"649",2010,1,"München",2125083
"650",2011,1,"München",2295788
"651",2012,1,"München",2392658
"652",2013,1,"München",2614591
"653",2014,1,"München",2636404
"654",2015,1,"München",2817168
"655",2016,1,"München",2890442
"656",2017,1,"München",2935038
"657",2018,1,"München",3382138
"658",2019,1,"München",3591061
"659",2020,1,"München",2870150
"660",2021,1,"München",680065
"661",2022,1,"München",1969010
"662",2023,1,"München",3423775
"663",2024,1,"München",3729443
"664",1998,2,"München",1730225.69755452
"665",1999,2,"München",1829398.26210397
"666",2000,2,"München",1950248.43405418
"667",2001,2,"München",1909784.58945055
"668",2002,2,"München",1747352.39537952
"669",2003,2,"München",1774561.54926117
"670",2004,2,"München",1932412.15742247
"671",2005,2,"München",2100955.98242055
"672",2006,2,"München",2218124
"673",2007,2,"München",2363825
"674",2008,2,"München",2520338
"675",2009,2,"München",2441681
"676",2010,2,"München",2808703
"677",2011,2,"München",2925027
"678",2012,2,"München",3120830
"679",2013,2,"München",3307119
"680",2014,2,"München",3411367
"681",2015,2,"München",3504501
"682",2016,2,"München",3639551
"683",2017,2,"München",3675617
"684",2018,2,"München",4278052
"685",2019,2,"München",4696333
"686",2020,2,"München",746954
"687",2021,2,"München",1169293
"688",2022,2,"München",4168039
"689",2023,2,"München",4974035
"690",2024,2,"München",4946234
"691",1998,3,"München",2063091.91223174
"692",1999,3,"München",2181343.60397718
"693",2000,3,"München",2325443.30882764
"694",2001,3,"München",2277194.90362967
"695",2002,3,"München",2083513.49758672
"696",2003,3,"München",2115957.23333243
"697",2004,3,"München",2304175.63368259
"698",2005,3,"München",2505144.44526688
"699",2006,3,"München",2720618
"700",2007,3,"München",2870820
"701",2008,3,"München",2972383
"702",2009,3,"München",2999618
"703",2010,3,"München",3463912
"704",2011,3,"München",3549597
"705",2012,3,"München",3691415
"706",2013,3,"München",3779571
"707",2014,3,"München",3978100
"708",2015,3,"München",4264447
"709",2016,3,"München",4012068
"710",2017,3,"München",4700240
"711",2018,3,"München",5092552
"712",2019,3,"München",5300448
"713",2020,3,"München",2374071
"714",2021,3,"München",3378956
"715",2022,3,"München",5362707
"716",2023,3,"München",5608037
"717",1998,4,"München",1734655.52331989
"718",1999,4,"München",1834081.99531174
"719",2000,4,"München",1955241.57499195
"720",2001,4,"München",1914674.13246947
"721",2002,4,"München",1751826.06992566
"722",2003,4,"München",1779104.88628607
"723",2004,4,"München",1937359.63287399
"724",2005,4,"München",2106334.97370242
"725",2006,4,"München",2236831
"726",2007,4,"München",2403275
"727",2008,4,"München",2421170
"728",2009,4,"München",2543488
"729",2010,4,"München",2758834
"730",2011,4,"München",2973627
"731",2012,4,"München",3167469
"732",2013,4,"München",3205036
"733",2014,4,"München",3404502
"734",2015,4,"München",3469852
"735",2016,4,"München",3485045
"736",2017,4,"München",3962222
"737",2018,4,"München",4337150
"738",2019,4,"München",4674738
"739",2020,4,"München",1068192
"740",2021,4,"München",2723103
"741",2022,4,"München",4503482
"742",2023,4,"München",4664631
"743",1998,1,"Kopenhagen",513444
"744",1999,1,"Kopenhagen",548493
"745",2000,1,"Kopenhagen",556878
"746",2001,1,"Kopenhagen",619333
"747",2002,1,"Kopenhagen",595631
"748",2003,1,"Kopenhagen",571502
"749",2004,1,"Kopenhagen",645711
"750",2005,1,"Kopenhagen",679156
"751",2006,1,"Kopenhagen",701422
"752",2007,1,"Kopenhagen",763023
"753",2008,1,"Kopenhagen",800068
"754",2009,1,"Kopenhagen",681606
"755",2010,1,"Kopenhagen",727805
"756",2011,1,"Kopenhagen",847599
"757",2012,1,"Kopenhagen",968598
"758",2013,1,"Kopenhagen",1004485
"759",2014,1,"Kopenhagen",1077629
"760",2015,1,"Kopenhagen",1183576
"761",2016,1,"Kopenhagen",1266471
"762",2017,1,"Kopenhagen",1319441
"763",2018,1,"Kopenhagen",1356140
"764",2019,1,"Kopenhagen",1424147
"765",2020,1,"Kopenhagen",1110266
"766",2021,1,"Kopenhagen",309677
"767",2022,1,"Kopenhagen",1104011
