year,month,state,city,code,arrivals,nights,,
2021,4,NRW,Düsseldorf,5111,30698,56796,,
2021,5,NRW,Düsseldorf,5111,41350,69900,,
2021,6,NRW,Düsseldorf,5111,71076,118139,,
2021,7,NRW,Düsseldorf,5111,114166,193582,,
2021,8,NRW,Düsseldorf,5111,151542,262473,,
2021,9,NRW,Düsseldorf,5111,167929,274200,,
2021,10,NRW,Düsseldorf,5111,178219,305109,,
2021,11,NRW,Düsseldorf,5111,162060,275829,,
2021,12,NRW,Düsseldorf,5111,133379,222913,,
2020,1,NRW,Düsseldorf,5111,242940,417009,,
2020,2,NRW,Düsseldorf,5111,228331,375149,,
2020,3,NRW,Düsseldorf,5111,84918,133511,,
2020,4,NRW,Düsseldorf,5111,7369,17421,,
2020,5,NRW,Düsseldorf,5111,21967,40050,,
2020,6,NRW,Düsseldorf,5111,54956,89768,,
2020,7,NRW,Düsseldorf,5111,84689,137853,,
2020,8,NRW,Düsseldorf,5111,104572,180483,,
2020,9,NRW,Düsseldorf,5111,120058,197422,,
2020,10,NRW,Düsseldorf,5111,81916,140677,,
2020,11,NRW,Düsseldorf,5111,29130,53563,,
2020,12,NRW,Düsseldorf,5111,21762,42847,,
2019,1,NRW,Düsseldorf,5111,240935,418079,,
2019,2,NRW,Düsseldorf,5111,219698,340845,,
2019,3,NRW,Düsseldorf,5111,274575,450827,,
2019,4,NRW,Düsseldorf,5111,233203,368989,,
2019,5,NRW,Düsseldorf,5111,264908,419386,,
2019,6,NRW,Düsseldorf,5111,257855,431354,,
2019,7,NRW,Düsseldorf,5111,260212,410842,,
2019,8,NRW,Düsseldorf,5111,236156,402715,,
2019,9,NRW,Düsseldorf,5111,266811,435019,,
2019,10,NRW,Düsseldorf,5111,252687,455912,,
2019,11,NRW,Düsseldorf,5111,277772,458745,,
2019,12,NRW,Düsseldorf,5111,263925,408641,,
2018,1,NRW,Düsseldorf,5111,233871,400517,,
2018,2,NRW,Düsseldorf,5111,216172,335598,,
2018,3,NRW,Düsseldorf,5111,269648,438704,,
2018,4,NRW,Düsseldorf,5111,246239,401748,,
2018,5,NRW,Düsseldorf,5111,251846,388713,,
2018,6,NRW,Düsseldorf,5111,258850,403539,,
2018,7,NRW,Düsseldorf,5111,251691,417016,,
2018,8,NRW,Düsseldorf,5111,250025,441570,,
2018,9,NRW,Düsseldorf,5111,282440,446153,,
2018,10,NRW,Düsseldorf,5111,264338,442101,,
2018,11,NRW,Düsseldorf,5111,278391,455580,,
2018,12,NRW,Düsseldorf,5111,265292,416853,,
2017,1,NRW,Düsseldorf,5111,227626,385956,,
2017,2,NRW,Düsseldorf,5111,199559,314381,,
2017,3,NRW,Düsseldorf,5111,265514,454906,,
2017,4,NRW,Düsseldorf,5111,228537,373347,,
2017,5,NRW,Düsseldorf,5111,255194,434038,,
2017,6,NRW,Düsseldorf,5111,243291,386887,,
2017,7,NRW,Düsseldorf,5111,235285,385853,,
2017,8,NRW,Düsseldorf,5111,230196,403899,,
2017,9,NRW,Düsseldorf,5111,272016,444395,,
2017,10,NRW,Düsseldorf,5111,249339,421571,,
2017,11,NRW,Düsseldorf,5111,254992,412738,,
2017,12,NRW,Düsseldorf,5111,260466,399608,,
2016,1,NRW,Düsseldorf,5111,196919,344765,,
2016,2,NRW,Düsseldorf,5111,195404,319380,,
2016,3,NRW,Düsseldorf,5111,218168,364406,,
2016,4,NRW,Düsseldorf,5111,237346,385927,,
2016,5,NRW,Düsseldorf,5111,235150,386822,,
2016,6,NRW,Düsseldorf,5111,229540,407345,,
2016,7,NRW,Düsseldorf,5111,220238,364939,,
2016,8,NRW,Düsseldorf,5111,220558,383468,,
2016,9,NRW,Düsseldorf,5111,259288,431852,,
2016,10,NRW,Düsseldorf,5111,239691,427090,,
2016,11,NRW,Düsseldorf,5111,255485,420673,,
2016,12,NRW,Düsseldorf,5111,238792,368008,,
2015,1,NRW,Düsseldorf,5111,207107,363121,,
2015,2,NRW,Düsseldorf,5111,187301,308566,,
2015,3,NRW,Düsseldorf,5111,238258,390076,,
2015,4,NRW,Düsseldorf,5111,200049,323095,,
2015,5,NRW,Düsseldorf,5111,233733,375847,,
2015,6,NRW,Düsseldorf,5111,228681,374552,,
2015,7,NRW,Düsseldorf,5111,198216,343191,,
2015,8,NRW,Düsseldorf,5111,224216,385666,,
2015,9,NRW,Düsseldorf,5111,241172,391032,,
2015,10,NRW,Düsseldorf,5111,241212,408778,,
2015,11,NRW,Düsseldorf,5111,242445,393438,,
2015,12,NRW,Düsseldorf,5111,221529,346598,,
2014,1,NRW,Düsseldorf,5111,207499,358319,,
2014,2,NRW,Düsseldorf,5111,197543,342846,,
2014,3,NRW,Düsseldorf,5111,218360,372443,,
2014,4,NRW,Düsseldorf,5111,190949,332362,,
2014,5,NRW,Düsseldorf,5111,235158,425489,,
2014,6,NRW,Düsseldorf,5111,229385,366945,,
2014,7,NRW,Düsseldorf,5111,212941,355816,,
2014,8,NRW,Düsseldorf,5111,211234,370879,,
2014,9,NRW,Düsseldorf,5111,247033,406178,,
2014,10,NRW,Düsseldorf,5111,234643,395123,,
2014,11,NRW,Düsseldorf,5111,237677,399691,,
2014,12,NRW,Düsseldorf,5111,227412,366460,,
2013,1,NRW,Düsseldorf,5111,196175,343643,,
2013,2,NRW,Düsseldorf,5111,178420,287082,,
2013,3,NRW,Düsseldorf,5111,214411,372814,,
2013,4,NRW,Düsseldorf,5111,200725,316150,,
2013,5,NRW,Düsseldorf,5111,208180,332064,,
2013,6,NRW,Düsseldorf,5111,215668,339381,,
2013,7,NRW,Düsseldorf,5111,222858,363130,,
2013,8,NRW,Düsseldorf,5111,189008,331547,,
2013,9,NRW,Düsseldorf,5111,241128,400001,,
2013,10,NRW,Düsseldorf,5111,232933,421207,,
2013,11,NRW,Düsseldorf,5111,240629,405094,,
2013,12,NRW,Düsseldorf,5111,211922,332620,,
2012,1,NRW,Düsseldorf,5111,184809,319625,,
2012,2,NRW,Düsseldorf,5111,179039,292792,,
2012,3,NRW,Düsseldorf,5111,234415,395787,,
2012,4,NRW,Düsseldorf,5111,184273,309109,,
2012,5,NRW,Düsseldorf,5111,202868,373221,,
2012,6,NRW,Düsseldorf,5111,202444,324717,,
2012,7,NRW,Düsseldorf,5111,180483,314662,,
2012,8,NRW,Düsseldorf,5111,178943,307313,,
2012,9,NRW,Düsseldorf,5111,227079,369612,,
2012,10,NRW,Düsseldorf,5111,217633,361006,,
2012,11,NRW,Düsseldorf,5111,224336,371757,,
2012,12,NRW,Düsseldorf,5111,200243,315999,,
2011,1,NRW,Düsseldorf,5111,172593,309469,,
2011,2,NRW,Düsseldorf,5111,175720,307350,,
2011,3,NRW,Düsseldorf,5111,204777,354490,,
2011,4,NRW,Düsseldorf,5111,155707,262765,,
2011,5,NRW,Düsseldorf,5111,203793,369985,,
2011,6,NRW,Düsseldorf,5111,180765,298905,,
2011,7,NRW,Düsseldorf,5111,194668,329789,,
2011,8,NRW,Düsseldorf,5111,156652,265027,,
2011,9,NRW,Düsseldorf,5111,209118,345374,,
2011,10,NRW,Düsseldorf,5111,213496,364082,,
2011,11,NRW,Düsseldorf,5111,207025,342482,,
2011,12,NRW,Düsseldorf,5111,188969,293685,,
2010,1,NRW,Düsseldorf,5111,159808,282183,,
2010,2,NRW,Düsseldorf,5111,171729,277061,,
2010,3,NRW,Düsseldorf,5111,189859,312465,,
2010,4,NRW,Düsseldorf,5111,155460,267216,,
2010,5,NRW,Düsseldorf,5111,167320,265729,,
2010,6,NRW,Düsseldorf,5111,163261,262317,,
2010,7,NRW,Düsseldorf,5111,166297,296739,,
2010,8,NRW,Düsseldorf,5111,148786,259028,,
2010,9,NRW,Düsseldorf,5111,208141,360244,,
2010,10,NRW,Düsseldorf,5111,189985,345416,,
2010,11,NRW,Düsseldorf,5111,213374,360185,,
2010,12,NRW,Düsseldorf,5111,189378,299005,,
2009,1,NRW,Düsseldorf,5111,149567,273291,,
2009,2,NRW,Düsseldorf,5111,135090,230683,,
2009,3,NRW,Düsseldorf,5111,177172,305498,,
2009,4,NRW,Düsseldorf,5111,128502,212140,,
2009,5,NRW,Düsseldorf,5111,155453,260559,,
2009,6,NRW,Düsseldorf,5111,143195,235044,,
2009,7,NRW,Düsseldorf,5111,134748,243224,,
2009,8,NRW,Düsseldorf,5111,138552,237501,,
2009,9,NRW,Düsseldorf,5111,181404,314405,,
2009,10,NRW,Düsseldorf,5111,182042,335534,,
2009,11,NRW,Düsseldorf,5111,181146,308928,,
2009,12,NRW,Düsseldorf,5111,168866,263152,,
2008,1,NRW,Düsseldorf,5111,151057,277697,,
2008,2,NRW,Düsseldorf,5111,156929,280741,,
2008,3,NRW,Düsseldorf,5111,160499,286775,,
2008,4,NRW,Düsseldorf,5111,155402,304169,,
2008,5,NRW,Düsseldorf,5111,150772,280552,,
2008,6,NRW,Düsseldorf,5111,149790,296522,,
2008,7,NRW,Düsseldorf,5111,129749,239790,,
2008,8,NRW,Düsseldorf,5111,136108,239958,,
2008,9,NRW,Düsseldorf,5111,181502,318317,,
2008,10,NRW,Düsseldorf,5111,165068,298105,,
2008,11,NRW,Düsseldorf,5111,170794,292727,,
2008,12,NRW,Düsseldorf,5111,153182,244993,,
2007,1,NRW,Düsseldorf,5111,137827,254360,,
2007,2,NRW,Düsseldorf,5111,127717,215780,,
2007,3,NRW,Düsseldorf,5111,162080,272978,,
2007,4,NRW,Düsseldorf,5111,117035,193716,,
2007,5,NRW,Düsseldorf,5111,139836,226884,,
2007,6,NRW,Düsseldorf,5111,145861,250118,,
2007,7,NRW,Düsseldorf,5111,129240,227633,,
2007,8,NRW,Düsseldorf,5111,137100,241348,,
2007,9,NRW,Düsseldorf,5111,168013,294780,,
2007,10,NRW,Düsseldorf,5111,170030,325529,,
2007,11,NRW,Düsseldorf,5111,167215,284538,,
2007,12,NRW,Düsseldorf,5111,158600,257945,,
2006,1,NRW,Düsseldorf,5111,130929,239178,,
2006,2,NRW,Düsseldorf,5111,120282,205384,,
2006,3,NRW,Düsseldorf,5111,153333,266033,,
2006,4,NRW,Düsseldorf,5111,115394,206141,,
2006,5,NRW,Düsseldorf,5111,148909,242756,,
2006,6,NRW,Düsseldorf,5111,142914,270245,,
2006,7,NRW,Düsseldorf,5111,122134,222876,,
2006,8,NRW,Düsseldorf,5111,124613,225694,,
2006,9,NRW,Düsseldorf,5111,164970,288619,,
2006,10,NRW,Düsseldorf,5111,146450,256565,,
2006,11,NRW,Düsseldorf,5111,148981,254344,,
2006,12,NRW,Düsseldorf,5111,139261,224515,,
2005,1,NRW,Düsseldorf,5111,126775,234250,,
2005,2,NRW,Düsseldorf,5111,118468,206275,,
2005,3,NRW,Düsseldorf,5111,122598,218580,,
2005,4,NRW,Düsseldorf,5111,132650,249750,,
2005,5,NRW,Düsseldorf,5111,107858,181274,,
2005,6,NRW,Düsseldorf,5111,127903,206022,,
2005,7,NRW,Düsseldorf,5111,111040,198849,,
2005,8,NRW,Düsseldorf,5111,112796,216816,,
2005,9,NRW,Düsseldorf,5111,152565,263293,,
2005,10,NRW,Düsseldorf,5111,155095,273566,,
2005,11,NRW,Düsseldorf,5111,145874,244405,,
2005,12,NRW,Düsseldorf,5111,123288,194682,,
2004,1,NRW,Düsseldorf,5111,112865,208640,,
2004,2,NRW,Düsseldorf,5111,104564,180419,,
2004,3,NRW,Düsseldorf,5111,135516,246506,,
2004,4,NRW,Düsseldorf,5111,96133,165771,,
2004,5,NRW,Düsseldorf,5111,125525,265177,,
2004,6,NRW,Düsseldorf,5111,115252,196315,,
2004,7,NRW,Düsseldorf,5111,112229,184546,,
2004,8,NRW,Düsseldorf,5111,90434,169188,,
2004,9,NRW,Düsseldorf,5111,139178,243936,,
2004,10,NRW,Düsseldorf,5111,139425,260745,,
2004,11,NRW,Düsseldorf,5111,136934,241922,,
2004,12,NRW,Düsseldorf,5111,106970,170804,,
2003,1,NRW,Düsseldorf,5111,107514,206980,,
2003,2,NRW,Düsseldorf,5111,91434,166325,,
2003,3,NRW,Düsseldorf,5111,118372,228212,,
2003,4,NRW,Düsseldorf,5111,80154,135482,,
2003,5,NRW,Düsseldorf,5111,111367,188884,,
2003,6,NRW,Düsseldorf,5111,108297,195227,,
2003,7,NRW,Düsseldorf,5111,90129,156549,,
2003,8,NRW,Düsseldorf,5111,87396,168587,,
2003,9,NRW,Düsseldorf,5111,120579,223633,,
2003,10,NRW,Düsseldorf,5111,134857,261703,,
2003,11,NRW,Düsseldorf,5111,120855,208326,,
2003,12,NRW,Düsseldorf,5111,98099,156220,,
2002,1,NRW,Düsseldorf,5111,110018,222319,,
2002,2,NRW,Düsseldorf,5111,103897,208293,,
2002,3,NRW,Düsseldorf,5111,114743,229067,,
2002,4,NRW,Düsseldorf,5111,112378,240773,,
2002,5,NRW,Düsseldorf,5111,99472,170582,,
2002,6,NRW,Düsseldorf,5111,109293,196436,,
2002,7,NRW,Düsseldorf,5111,88397,159641,,
2002,8,NRW,Düsseldorf,5111,101837,191553,,
2002,9,NRW,Düsseldorf,5111,122046,230455,,
2002,10,NRW,Düsseldorf,5111,128710,247329,,
2002,11,NRW,Düsseldorf,5111,118218,212854,,
2002,12,NRW,Düsseldorf,5111,93802,150313,,
2001,1,NRW,Düsseldorf,5111,104390,203915,,
2001,2,NRW,Düsseldorf,5111,99308,184263,,
2001,3,NRW,Düsseldorf,5111,122563,238113,,
2001,4,NRW,Düsseldorf,5111,90517,161207,,
2001,5,NRW,Düsseldorf,5111,114974,206109,,
2001,6,NRW,Düsseldorf,5111,96325,166211,,
2001,7,NRW,Düsseldorf,5111,85667,153680,,
2001,8,NRW,Düsseldorf,5111,103591,209302,,
2001,9,NRW,Düsseldorf,5111,124811,245770,,
2001,10,NRW,Düsseldorf,5111,124720,264874,,
2001,11,NRW,Düsseldorf,5111,115523,210904,,
2001,12,NRW,Düsseldorf,5111,87132,144669,,
2000,1,NRW,Düsseldorf,5111,97328,191201,,
2000,2,NRW,Düsseldorf,5111,101166,180168,,
2000,3,NRW,Düsseldorf,5111,122623,226791,,
2000,4,NRW,Düsseldorf,5111,94819,177977,,
2000,5,NRW,Düsseldorf,5111,113023,279514,,
2000,6,NRW,Düsseldorf,5111,108446,197513,,
2000,7,NRW,Düsseldorf,5111,84712,143418,,
2000,8,NRW,Düsseldorf,5111,101892,193619,,
2000,9,NRW,Düsseldorf,5111,132648,255090,,
2000,10,NRW,Düsseldorf,5111,112563,219109,,
2000,11,NRW,Düsseldorf,5111,117887,217125,,
2000,12,NRW,Düsseldorf,5111,85334,142318,,
1999,1,NRW,Düsseldorf,5111,95933,182442,,
1999,2,NRW,Düsseldorf,5111,104589,207956,,
1999,3,NRW,Düsseldorf,5111,120980,226501,,
1999,4,NRW,Düsseldorf,5111,90960,153539,,
1999,5,NRW,Düsseldorf,5111,104799,208397,,
1999,6,NRW,Düsseldorf,5111,102992,203949,,
1999,7,NRW,Düsseldorf,5111,79386,142710,,
1999,8,NRW,Düsseldorf,5111,91851,170531,,
1999,9,NRW,Düsseldorf,5111,114215,217192,,
1999,10,NRW,Düsseldorf,5111,118944,228716,,
1999,11,NRW,Düsseldorf,5111,118228,214531,,
1999,12,NRW,Düsseldorf,5111,85227,136689,,
1998,1,NRW,Düsseldorf,5111,102010,196137,,
1998,2,NRW,Düsseldorf,5111,89934,167876,,
1998,3,NRW,Düsseldorf,5111,119478,228754,,
1998,4,NRW,Düsseldorf,5111,87202,165747,,
1998,5,NRW,Düsseldorf,5111,105704,206288,,
1998,6,NRW,Düsseldorf,5111,102674,181284,,
1998,7,NRW,Düsseldorf,5111,80764,141593,,
1998,8,NRW,Düsseldorf,5111,101594,186314,,
1998,9,NRW,Düsseldorf,5111,125926,250793,,
1998,10,NRW,Düsseldorf,5111,119015,244548,,
1998,11,NRW,Düsseldorf,5111,116746,201668,,
1998,12,NRW,Düsseldorf,5111,88981,143439,,
1997,1,NRW,Düsseldorf,5111,98823,185346,,
1997,2,NRW,Düsseldorf,5111,92092,171237,,
1997,3,NRW,Düsseldorf,5111,98657,187909,,
1997,4,NRW,Düsseldorf,5111,94000,154935,,
1997,5,NRW,Düsseldorf,5111,103128,177326,,
1997,6,NRW,Düsseldorf,5111,109717,195606,,
1997,7,NRW,Düsseldorf,5111,80562,143480,,
1997,8,NRW,Düsseldorf,5111,97167,174466,,
1997,9,NRW,Düsseldorf,5111,120379,224661,,
1997,10,NRW,Düsseldorf,5111,124545,232116,,
1997,11,NRW,Düsseldorf,5111,118797,214209,,
1997,12,NRW,Düsseldorf,5111,76375,124501,,
1996,1,NRW,Düsseldorf,5111,87898,172926,,
1996,2,NRW,Düsseldorf,5111,96404,187218,,
1996,3,NRW,Düsseldorf,5111,107438,201434,,
1996,4,NRW,Düsseldorf,5111,85733,162907,,
1996,5,NRW,Düsseldorf,5111,92107,192881,,
1996,6,NRW,Düsseldorf,5111,88822,156828,,
1996,7,NRW,Düsseldorf,5111,69265,119425,,
1996,8,NRW,Düsseldorf,5111,96518,175133,,
1996,9,NRW,Düsseldorf,5111,117221,218115,,
1996,10,NRW,Düsseldorf,5111,113198,215939,,
1996,11,NRW,Düsseldorf,5111,107976,191647,,
1996,12,NRW,Düsseldorf,5111,73926,116671,,
1995,1,NRW,Düsseldorf,5111,85608,165567,,
1995,2,NRW,Düsseldorf,5111,94406,172799,,
1995,3,NRW,Düsseldorf,5111,108437,203831,,
1995,4,NRW,Düsseldorf,5111,78662,163160,,
1995,5,NRW,Düsseldorf,5111,98720,258338,,
1995,6,NRW,Düsseldorf,5111,84987,152510,,
1995,7,NRW,Düsseldorf,5111,64316,112948,,
1995,8,NRW,Düsseldorf,5111,80214,160966,,
1995,9,NRW,Düsseldorf,5111,105522,203000,,
1995,10,NRW,Düsseldorf,5111,113044,251690,,
1995,11,NRW,Düsseldorf,5111,104593,202273,,
1995,12,NRW,Düsseldorf,5111,69911,114115,,
2024,1,NRW,Duisburg,5112,18258,36413,,
2024,2,NRW,Duisburg,5112,17505,34441,,
2024,3,NRW,Duisburg,5112,23369,46109,,
2024,4,NRW,Duisburg,5112,25939,49884,,
2024,5,NRW,Duisburg,5112,27590,52829,,
2024,6,NRW,Duisburg,5112,28696,55918,,
2024,7,NRW,Duisburg,5112,,,,
2024,8,NRW,Duisburg,5112,,,,
2024,9,NRW,Duisburg,5112,,,,
2024,10,NRW,Duisburg,5112,,,,
2024,11,NRW,Duisburg,5112,,,,
2024,12,NRW,Duisburg,5112,,,,
2023,1,NRW,Duisburg,5112,20238,38287,,
2023,2,NRW,Duisburg,5112,18899,37014,,
2023,3,NRW,Duisburg,5112,25459,47256,,
2023,4,NRW,Duisburg,5112,25825,48711,,
2023,5,NRW,Duisburg,5112,30759,57645,,
2023,6,NRW,Duisburg,5112,31328,61762,,
2023,7,NRW,Duisburg,5112,24628,47526,,
2023,8,NRW,Duisburg,5112,29236,60658,,
2023,9,NRW,Duisburg,5112,29690,56809,,
2023,10,NRW,Duisburg,5112,27632,54456,,
2023,11,NRW,Duisburg,5112,24647,47695,,
2023,12,NRW,Duisburg,5112,21807,40813,,
2022,1,NRW,Duisburg,5112,11558,23819,,
2022,2,NRW,Duisburg,5112,11574,23338,,
2022,3,NRW,Duisburg,5112,16886,34847,,
2022,4,NRW,Duisburg,5112,22254,44224,,
2022,5,NRW,Duisburg,5112,26126,49980,,
2022,6,NRW,Duisburg,5112,27441,50642,,
2022,7,NRW,Duisburg,5112,26212,50496,,
2022,8,NRW,Duisburg,5112,31563,59427,,
2022,9,NRW,Duisburg,5112,29663,57202,,
2022,10,NRW,Duisburg,5112,27865,55037,,
2022,11,NRW,Duisburg,5112,25926,49690,,
2022,12,NRW,Duisburg,5112,22212,42018,,
2021,1,NRW,Duisburg,5112,3488,9435,,
2021,2,NRW,Duisburg,5112,3406,9963,,
2021,3,NRW,Duisburg,5112,5341,13666,,
2021,4,NRW,Duisburg,5112,6974,15286,,
2021,5,NRW,Duisburg,5112,6541,14951,,
2021,6,NRW,Duisburg,5112,10462,21756,,
2021,7,NRW,Duisburg,5112,14274,28817,,
2021,8,NRW,Duisburg,5112,19381,39697,,
2021,9,NRW,Duisburg,5112,18890,36848,,
2021,10,NRW,Duisburg,5112,20636,40988,,
2021,11,NRW,Duisburg,5112,18799,36439,,
2021,12,NRW,Duisburg,5112,12294,25986,,
2020,1,NRW,Duisburg,5112,19579,38334,,
2020,2,NRW,Duisburg,5112,20412,41059,,
2020,3,NRW,Duisburg,5112,9045,22443,,
2020,4,NRW,Duisburg,5112,1683,7038,,
2020,5,NRW,Duisburg,5112,4151,11685,,
2020,6,NRW,Duisburg,5112,8824,19171,,
2020,7,NRW,Duisburg,5112,11483,24775,,
2020,8,NRW,Duisburg,5112,17632,35230,,
2020,9,NRW,Duisburg,5112,17163,35185,,
2020,10,NRW,Duisburg,5112,12528,28192,,
2020,11,NRW,Duisburg,5112,5716,14320,,
2020,12,NRW,Duisburg,5112,3722,10941,,
2019,1,NRW,Duisburg,5112,18173,36273,,
2019,2,NRW,Duisburg,5112,19780,37222,,
2019,3,NRW,Duisburg,5112,25106,47655,,
2019,4,NRW,Duisburg,5112,24407,46919,,
2019,5,NRW,Duisburg,5112,26595,51673,,
2019,6,NRW,Duisburg,5112,27277,53234,,
2019,7,NRW,Duisburg,5112,26329,49747,,
2019,8,NRW,Duisburg,5112,24415,46717,,
2019,9,NRW,Duisburg,5112,27328,52509,,
2019,10,NRW,Duisburg,5112,28368,58719,,
2019,11,NRW,Duisburg,5112,26871,51104,,
2019,12,NRW,Duisburg,5112,20556,39162,,
2018,1,NRW,Duisburg,5112,20585,40454,,
2018,2,NRW,Duisburg,5112,21455,41678,,
2018,3,NRW,Duisburg,5112,25078,49054,,
2018,4,NRW,Duisburg,5112,23947,46198,,
2018,5,NRW,Duisburg,5112,24684,50384,,
2018,6,NRW,Duisburg,5112,25072,50617,,
2018,7,NRW,Duisburg,5112,22100,46009,,
2018,8,NRW,Duisburg,5112,21658,44751,,
2018,9,NRW,Duisburg,5112,27058,52131,,
2018,10,NRW,Duisburg,5112,26167,52879,,
2018,11,NRW,Duisburg,5112,25989,49376,,
2018,12,NRW,Duisburg,5112,21990,40939,,
2017,1,NRW,Duisburg,5112,15751,34167,,
2017,2,NRW,Duisburg,5112,15267,32050,,
2017,3,NRW,Duisburg,5112,22211,46105,,
2017,4,NRW,Duisburg,5112,22406,47187,,
2017,5,NRW,Duisburg,5112,27025,52055,,
2017,6,NRW,Duisburg,5112,22642,46632,,
2017,7,NRW,Duisburg,5112,23259,48030,,
2017,8,NRW,Duisburg,5112,21540,47777,,
2017,9,NRW,Duisburg,5112,27979,55426,,
2017,10,NRW,Duisburg,5112,25625,53351,,
2017,11,NRW,Duisburg,5112,24624,47289,,
2017,12,NRW,Duisburg,5112,20110,39735,,
2016,1,NRW,Duisburg,5112,14976,31542,,
2016,2,NRW,Duisburg,5112,16494,33439,,
2016,3,NRW,Duisburg,5112,18358,41125,,
2016,4,NRW,Duisburg,5112,22137,45666,,
2016,5,NRW,Duisburg,5112,21792,49140,,
2016,6,NRW,Duisburg,5112,21093,46367,,
2016,7,NRW,Duisburg,5112,19416,42163,,
2016,8,NRW,Duisburg,5112,20617,46069,,
2016,9,NRW,Duisburg,5112,24089,48696,,
2016,10,NRW,Duisburg,5112,22109,50916,,
2016,11,NRW,Duisburg,5112,23223,47205,,
2016,12,NRW,Duisburg,5112,17449,33902,,
2015,1,NRW,Duisburg,5112,13076,27264,,
2015,2,NRW,Duisburg,5112,13378,28415,,
2015,3,NRW,Duisburg,5112,19790,39861,,
2015,4,NRW,Duisburg,5112,17175,38348,,
2015,5,NRW,Duisburg,5112,19850,43066,,
2015,6,NRW,Duisburg,5112,18854,40324,,
2015,7,NRW,Duisburg,5112,16565,36750,,
2015,8,NRW,Duisburg,5112,19633,42699,,
2015,9,NRW,Duisburg,5112,20245,42074,,
2015,10,NRW,Duisburg,5112,20866,45807,,
2015,11,NRW,Duisburg,5112,19955,42336,,
2015,12,NRW,Duisburg,5112,14562,30724,,
2014,1,NRW,Duisburg,5112,13977,29766,,
2014,2,NRW,Duisburg,5112,14655,31229,,
2014,3,NRW,Duisburg,5112,17506,35566,,
2014,4,NRW,Duisburg,5112,17084,39198,,
2014,5,NRW,Duisburg,5112,20271,44939,,
2014,6,NRW,Duisburg,5112,18563,38361,,
2014,7,NRW,Duisburg,5112,17652,40648,,
2014,8,NRW,Duisburg,5112,19204,41322,,
2014,9,NRW,Duisburg,5112,20558,44018,,
2014,10,NRW,Duisburg,5112,20340,44722,,
2014,11,NRW,Duisburg,5112,18901,38871,,
2014,12,NRW,Duisburg,5112,16055,30452,,
2013,1,NRW,Duisburg,5112,12974,30040,,
2013,2,NRW,Duisburg,5112,13024,26355,,
2013,3,NRW,Duisburg,5112,15558,33128,,
2013,4,NRW,Duisburg,5112,17031,33103,,
2013,5,NRW,Duisburg,5112,17372,34440,,
2013,6,NRW,Duisburg,5112,17894,36361,,
2013,7,NRW,Duisburg,5112,18492,36622,,
2013,8,NRW,Duisburg,5112,15750,37532,,
2013,9,NRW,Duisburg,5112,19821,42414,,
2013,10,NRW,Duisburg,5112,21194,48853,,
2013,11,NRW,Duisburg,5112,19079,40107,,
2013,12,NRW,Duisburg,5112,14705,31097,,
2012,1,NRW,Duisburg,5112,12990,24148,,
2012,2,NRW,Duisburg,5112,12671,24807,,
2012,3,NRW,Duisburg,5112,17866,34884,,
2012,4,NRW,Duisburg,5112,16930,32408,,
2012,5,NRW,Duisburg,5112,17779,37518,,
2012,6,NRW,Duisburg,5112,17883,32992,,
2012,7,NRW,Duisburg,5112,16614,33736,,
